employee_id,liked_assigned,disliked_assigned,total_score
E009,1,0,1
E010,3,0,3
E013,4,0,7
E014,2,0,4
E015,2,0,3
E016,4,0,8
E018,2,0,3
E019,1,0,2
E020,3,0,3
E021,4,0,6
E022,4,0,8
E024,2,0,2
E026,3,0,5
E028,2,0,3
E029,3,0,3
E030,1,0,1
E031,3,0,5
E032,3,0,6
E033,1,0,1
E035,3,0,3
E038,3,0,3
E041,3,0,5
E044,1,0,1
E046,4,0,5
E047,3,0,5
E048,2,0,2
E049,2,0,4
