name,weight,value,contribution
unmet_window,0.033333,0.000000,0.000000
unmet_demand,0.016667,0.000000,0.000000
unmet_skill,0.013333,0.000000,0.000000
unmet_shift,0.010000,0.000000,0.000000
overtime,0.005000,0.000000,0.000000
preferences,0.000833,0.000000,0.000000
fairness,0.000833,0.000000,0.000000
TOTAL,0.000000,0.000000,0.000000
